SMILES,CCR5_pIC50,INT_pIC50,RT_pIC50
CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(C1=C(O)[C@H]3[C@H]([C@H]4CC[C@@H]3C4)N(Cc3ccccc3)C1=O)N2,6.067491329814484,5.240190402460367,5.805354777192307
CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)C(F)(F)C(F)(F)F)c1,5.357193585680782,5.14876104272143,6.082694878329062
N=C(N)NCCC[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)CSC[C@@H](C(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O,5.538241629434855,5.473089078818569,5.0559394612593795
OC1(c2ccc(Cl)cc2)c2ccc(CN3CCCC3)cc2C2=NCCN21,5.369897577711267,5.271308072052087,5.89672105458428
CCC(C)[C@H](N)C(=O)OCC(CCn1cnc2c(O)nc(N)nc21)COC(=O)[C@@H](N)C(C)CC,7.179044187370344,4.926773547321788,6.172097965873405
CCOc1ccc(-c2ccc(S(=O)(=O)N[C@@H](C(=O)O)C3CCN(C(=O)OC(C)C)CC3)s2)cc1,6.022141803644481,4.849598446481717,5.446855474242803
Cc1c(C=O)c2cc(OCc3ccccc3)ccc2n1C,5.5636894895716775,4.9882383938095725,5.73005418037286
CCC(c1nc2ccccc2c(=O)[nH]1)N1CCN(C(=O)Nc2ccc(Cl)c(Cl)c2)C(C)C1,5.903621233518022,5.497833763033693,6.471594569300073
CC1CCCCC1NC(=O)Cn1c(=O)oc2cc(S(=O)(=O)N3CCCC3)ccc21,6.035192085008195,5.337527918792691,5.685621284413877
COC(=O)Cc1c[nH]c(=O)c2cccn12,5.477096256984125,4.433943598026297,5.228611763424128
COc1cc(O)c2c(=O)c(-c3ccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc3)coc2c1,5.193468688814278,4.707568287928749,4.738049568395013
CC1(C)Cc2c(cnn2-c2ccccc2)C(NC(=O)CCN2CCCCO2)C1,6.345271541815024,5.254243961657543,5.732049777480069
Cc1cccc(OCC(=O)N2CCN(Cc3ccncc3)CC2)c1,5.424188228497169,5.10341203873078,5.515131709641692
